4.2969,3.1485,22.463,18.099,-16.831,-16.534,-3.431,-0.26891,4.788,1.9549,-0.69336,-3.1164,-0.57394,-1.5045
8.4358,5.7506,40.57,37.321,-27.842,-30.308,-8.5163,2.5042,8.5344,9.1323,-4.8217,-3.8678,-2.2453,-0.44997
8.8924,7.7361,54.857,49.902,-39.233,-40.672,-6.952,-2.0491,11.151,14.768,-10.178,-4.4602,-1.6798,0.79906
7.3522,10.117,60.799,56.226,-43.839,-47.025,-4.2495,-3.5111,13.042,13.534,-12.546,-6.4428,-1.0586,-0.080124
8.2121,12.911,66.546,69.459,-50.92,-49.172,-4.1696,-4.6541,14.712,13.749,-13.177,-2.4624,1.2618,-1.7619
10.204,12.763,70.563,74.529,-50.889,-55.311,-0.99057,-4.2155,14.695,14.153,-13.224,-2.6662,3.8418,-1.9515
11.911,14.005,74.861,73.74,-56.126,-55.434,0.78092,-4.6011,15.955,16.563,-15.206,-3.9304,2.7384,2.3789
9.1369,10.893,77.352,66.822,-56.672,-55.215,3.8192,-6.1776,18.561,17.649,-17.058,-6.5024,0.67626,8.4391
10.574,8.9693,75.605,71.767,-56.157,-56.344,3.1313,-5.9621,18.129,20.16,-19.93,-6.4087,2.1716,7.9996
13.031,8.6653,77.256,73.21,-57.795,-58.993,1.247,-6.2598,18.667,25.282,-17.487,-9.0966,3.9401,5.312
12.592,8.7136,75.739,72.879,-55.129,-58.123,-0.2716,-5.5776,18.715,26.427,-16.433,-6.1903,4.8684,3.4223
13.402,9.9806,76.592,75.467,-53.635,-59.981,-4.5138,-4.8502,19.873,27.177,-14.881,-5.1898,2.7509,-1.609
14.205,9.001,78.84,73.114,-53.268,-61.729,-6.2277,-5.6719,20.36,26.833,-14.025,-5.406,0.86788,-2.6186
13.61,7.0651,76.659,73.012,-51.797,-61.696,-6.2104,-4.0623,19.568,24.977,-16.218,-4.4562,-2.2285,-6.802
14.98,6.9602,80.909,71.258,-52.913,-57.819,-7.6504,-4.9456,17.778,26.34,-20.557,-5.3597,-2.4817,-5.0739
14.673,8.9853,83.638,68.293,-56.675,-53.611,-6.5067,-1.5442,15.637,26.371,-18.327,-9.3009,-2.3696,-4.8133
13.662,7.5123,84.019,73.687,-56.733,-60.142,-3.2512,-3.3095,18.688,27.39,-18.708,-10.649,-3.1006,-2.6834
11.731,9.3041,82.308,75.199,-54.395,-58.428,-1.4909,-6.182,18.24,26.977,-15.892,-9.6932,-3.3798,-2.1095
11.407,10.254,81.595,74.526,-53.058,-56.507,-0.62297,-3.4306,19.281,24.034,-13.497,-10.714,-2.8913,0.37367
